wl (nm); Emeas; Emod_sc - Retrieved values (SS = -0.118 nm, FWHM = 12.379 nm); Emod_sc - Nominal values (SS = 0 nm, FWHM =  3.500 nm)
420.00000; 1.0056515; 1.0934445; 1.0214292
421.00000; 1.0059466; 1.0938638; 1.0124913
422.00000; 1.0038855; 1.0897011; 1.0028101
423.00000; 0.99946492; 1.0821775; 0.99277423
424.00000; 0.99198751; 1.0773727; 0.98287001
425.00000; 0.98380706; 1.0735847; 0.97367762
426.00000; 0.97402048; 1.0639920; 0.96591367
427.00000; 0.96566578; 1.0439177; 0.96007910
428.00000; 0.95886712; 1.0124777; 0.95687047
429.00000; 0.95676836; 0.97606007; 0.95676836
430.00000; 0.95766275; 0.95676836; 0.96005657
431.00000; 0.96162562; 0.97666761; 0.96678063
432.00000; 0.97234551; 1.0245436; 0.97674270
433.00000; 0.98582644; 1.0674023; 0.98953589
434.00000; 1.0042521; 1.0934067; 1.0046097
435.00000; 1.0237416; 1.1127579; 1.0213527
436.00000; 1.0438286; 1.1272595; 1.0389924
437.00000; 1.0635225; 1.1284943; 1.0573825
438.00000; 1.0820970; 1.1204934; 1.0759624
439.00000; 1.0991434; 1.1201886; 1.0944725
440.00000; 1.1153889; 1.1356372; 1.1127618
441.00000; 1.1309133; 1.1595185; 1.1307527
442.00000; 1.1450967; 1.1803456; 1.1484019
443.00000; 1.1614631; 1.1917856; 1.1656650
444.00000; 1.1792814; 1.1950058; 1.1824723
445.00000; 1.1986362; 1.1967246; 1.1987170
446.00000; 1.2153870; 1.2052588; 1.2142589
447.00000; 1.2287147; 1.2223062; 1.2287943
448.00000; 1.2424558; 1.2424558; 1.2424558
